iter	Passed	Remaining
613	1512	950
614	1513	947
615	1514	944
616	1516	941
617	1517	937
618	1518	934
619	1519	931
620	1521	928
621	1522	925
622	1523	922
623	1527	920
624	1528	917
625	1530	914
626	1531	911
627	1532	908
628	1534	904
629	1536	902
630	1564	915
631	1566	911
632	1567	908
633	1568	905
634	1570	902
635	1571	899
636	1572	896
637	1574	893
638	1575	890
639	1576	887
640	1578	883
641	1579	880
642	1581	877
643	1583	875
644	1585	872
645	1588	870
646	1590	867
647	1591	864
648	1593	861
649	1595	859
650	1614	865
651	1617	863
652	1622	862
653	1623	859
654	1625	856
655	1630	854
656	1631	851
657	1634	849
658	1638	847
659	1640	845
660	1642	842
661	1644	839
662	1647	837
663	1649	834
664	1653	832
665	1656	830
666	1658	827
667	1660	825
668	1662	822
669	1664	819
670	1670	818
671	1671	816
672	1673	813
673	1675	810
674	1677	807
675	1679	804
676	1683	803
677	1684	800
678	1686	797
679	1688	794
680	1690	791
681	1692	789
682	1694	786
683	1697	784
684	1700	781
685	1702	779
686	1705	776
687	1706	774
688	1709	771
689	1712	769
690	1715	767
691	1717	764
692	1719	761
693	1720	758
694	1740	763
695	1742	760
696	1750	761
697	1752	758
698	1753	755
699	1754	752
700	1756	749
701	1757	746
702	1760	743
703	1762	740
704	1763	737
705	1764	734
706	1766	731
707	1767	729
708	1768	726
709	1770	723
710	1771	720
711	1777	718
712	1779	716
713	1780	713
714	1782	710
715	1800	714
716	1801	711
717	1803	708
718	1804	705
719	1807	703
720	1809	700
721	1811	697
722	1813	694
723	1814	691
724	1816	689
725	1818	686
726	1819	683
727	1820	680
728	1824	678
729	1825	675
730	1827	672
731	1829	669
732	1831	667
733	1832	664
734	1834	661
735	1836	658
736	1846	658
737	1848	656
738	1849	653
739	1851	650
740	1858	649
741	1860	646
742	1863	644
743	1865	641
744	1867	639
745	1869	636
746	1871	633
747	1873	631
748	1874	628
749	1875	625
750	1877	622
751	1878	619
752	1879	616
753	1880	613
754	1881	610
755	1884	608
756	1885	605
757	1886	602
758	1887	599
759	1888	596
760	1889	593
761	1890	590
762	1891	587
763	1892	584
764	1894	581
765	1895	578
766	1896	576
767	1897	573
768	1900	570
769	1901	567
770	1902	565
771	1903	562
772	1905	559
773	1906	556
774	1907	553
775	1908	550
776	1909	548
777	1910	545
778	1913	542
779	1914	540
780	1915	537
781	1916	534
782	1918	531
783	1919	528
784	1920	525
785	1921	523
786	1921	520
787	1922	517
788	1923	514
789	1924	511
790	1925	508
791	1928	506
792	1929	503
793	1930	500
794	1931	498
795	1933	495
796	1934	492
797	1935	489
798	1936	487
799	1937	484
800	1937	481
801	1938	478
802	1939	475
803	1940	473
804	1943	470
805	1944	468
806	1945	465
807	1946	462
808	1947	459
809	1948	457
810	1949	454
811	1950	451
812	1951	448
813	1952	446
814	1953	443
815	1954	440
816	1955	438
817	1960	436
818	1962	433
819	1963	431
820	1964	428
821	1965	425
822	1967	423
823	1968	420
824	1969	417
825	1970	415
826	1971	412
827	1974	410
828	1976	407
829	1977	405
830	1978	402
831	1980	399
832	1981	397
833	1984	394
834	1985	392
835	1986	389
836	1990	387
837	1992	385
838	1994	382
839	1995	380
840	1997	377
841	1999	375
842	2000	372
843	2002	370
844	2005	367
845	2007	365
846	2009	362
847	2011	360
848	2013	358
849	2014	355
850	2015	352
851	2017	350
852	2026	349
853	2027	346
854	2029	344
855	2031	341
856	2032	339
857	2034	336
858	2035	334
859	2037	331
860	2039	329
861	2040	326
862	2042	324
863	2044	321
864	2046	319
865	2049	317
866	2051	314
867	2052	312
868	2054	309
869	2055	307
870	2056	304
871	2058	302
872	2059	299
873	2060	297
874	2061	294
875	2064	292
876	2066	289
877	2067	287
878	2068	284
879	2069	282
880	2071	279
881	2072	277
882	2073	274
883	2074	272
884	2075	269
885	2077	267
886	2078	264
887	2080	262
888	2081	259
889	2082	257
890	2084	254
891	2085	252
892	2086	250
893	2088	247
894	2089	245
895	2090	242
896	2091	240
897	2092	237
898	2095	235
899	2097	233
900	2099	230
901	2102	228
902	2103	225
903	2104	223
904	2105	221
905	2106	218
906	2108	216
907	2113	214
908	2115	211
909	2117	209
910	2119	207
911	2121	204
912	2123	202
913	2127	200
914	2130	197
915	2131	195
916	2132	193
917	2134	190
918	2135	188
919	2137	185
920	2139	183
921	2143	181
922	2145	178
923	2146	176
924	2148	174
925	2150	171
926	2151	169
927	2153	167
928	2154	164
929	2157	162
930	2159	160
931	2160	157
932	2162	155
933	2164	152
934	2165	150
935	2167	148
936	2169	145
937	2170	143
938	2174	141
939	2175	138
940	2177	136
941	2178	134
942	2180	131
943	2182	129
944	2183	127
945	2185	124
946	2188	122
947	2190	120
948	2192	117
949	2194	115
950	2195	113
951	2197	110
952	2199	108
953	2200	106
954	2202	103
955	2203	101
956	2204	99
957	2206	96
958	2208	94
959	2209	92
960	2210	89
961	2212	87
962	2213	85
963	2214	82
964	2218	80
965	2219	78
966	2221	75
967	2222	73
968	2224	71
969	2226	68
970	2227	66
971	2228	64
972	2231	61
973	2234	59
974	2235	57
975	2236	54
976	2237	52
977	2239	50
978	2240	48
979	2241	45
980	2243	43
981	2244	41
982	2245	38
983	2248	36
984	2249	34
985	2251	31
986	2252	29
987	2253	27
988	2255	25
989	2256	22
990	2257	20
991	2259	18
992	2260	15
993	2261	13
994	2264	11
995	2265	9
996	2267	6
997	2268	4
998	2269	2
999	2270	0
